timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-12-10T12:35:46,MOVIELENS_1M_ITEMKNN_DEFAULT_PARAM_1702208111,e169cedc-63aa-4b55-8308-ff5865208410,33.76781988143921,1.3635957754826603e-05,4.0381516493227125e-07,0.1706,0.0009,0.5700302124023438,3.4415864158908536e-05,6.922511214017868e-08,5.527228301521822e-06,4.001231757257054e-05,Italy,ITA,apulia,,,macOS-13.6.2-arm64-arm-64bit,3.11.4,2.3.1,12,Apple M2 Max,1,Apple M2 Max,16.9225,40.7957,64.0,process,N,1.0
2023-12-05T19:21:01,MOVIELENS_1M_ITEMKNN_DEFAULT_PARAM_1701800387,6e9d1c79-ea87-4a27-b7cc-df6b6ed3ebcf,69.6565010547638,0.00028435871923321136,4.0822997843323934e-06,42.5,0.0,0.3194360733032227,0.0008223211114605269,0,1.2079491933932523e-05,0.0008344006033944594,Italy,ITA,basilicate,,,macOS-12.7.1-x86_64-i386-64bit,3.11.4,2.3.2,4,Intel(R) Core(TM) i5-6360U CPU @ 2.00GHz,,,15.8079,40.6421,16.0,process,N,1.0
2024-01-07T10:07:31,MOVIELENS_1M_ITEMKNN_DEFAULT_PARAM_1704621975,df97ad16-3f9b-4d81-a40e-e6e05b0c0955,73.61103630065918,0.0005498357575532229,7.4694744862367756e-06,42.5,0.0,1.1210145950317383,0.0008688913534084957,0.00052196152868,2.3690283506800828e-05,0.0014145431655952965,The Netherlands,NLD,north holland,,,Linux-5.15.0-1053-azure-x86_64-with-glibc2.10,3.8.5,2.3.1,4,AMD EPYC 7V12 64-Core Processor,1,1 x Tesla T4,4.8883,52.3716,27.40581512451172,process,N,1.0
