recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.5138,0.5833,0.4713,0.7757,0.381,0.1635,0.9637,0.1586,2556.0053,0.9531,0.008,0.0541,f76f0bfe-c04d-45df-8cb0-8871e3c91549,MIND_LINE_DEFAULT_PARAM_1702833343
0.5138,0.5833,0.4713,0.7757,0.381,0.1635,0.9637,0.1586,2556.0053,0.9531,0.008,0.0541,b5274c80-bace-4439-b7f4-6d75581b827a,MIND_LINE_DEFAULT_PARAM_1703894818
0.5138,0.5833,0.4713,0.7757,0.381,0.1635,0.9637,0.1586,2556.0053,0.9531,0.008,0.0541,43faefe5-e712-4804-abbb-c8ac1c0f5ac1,MIND_LINE_DEFAULT_PARAM_1704636934
