recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.6636,0.682,0.5897,0.8986,0.4889,0.1991,0.9726,0.1144,4989.83,0.974,0.01,0.0,9a04a440-f623-4762-9922-ccc49435b6be,MIND_DMF_DEFAULT_PARAM_1702723401
0.6635,0.6755,0.5845,0.8971,0.4824,0.1986,0.9738,0.1246,5163.3228,0.9728,0.0092,0.0,5a3fbf64-f024-4926-b350-c8447c1bb89f,MIND_DMF_DEFAULT_PARAM_1703844909
0.6577,0.6752,0.5833,0.8923,0.483,0.1955,0.9733,0.1182,4908.9081,0.9724,0.0098,0.0,394b5d8d-5358-4141-aa2b-0acff5ff3036,MIND_DMF_DEFAULT_PARAM_1704635598
