recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0799,0.2866,0.1448,0.5389,0.077,0.1181,0.8721,0.0693,1927.4994,0.9905,0.015,0.0,a0f7b9e5-fc0b-4466-b6ad-69ff1d105ee4,MOVIELENS_1M_SPECTRALCF_DEFAULT_PARAM_1702329138
0.0799,0.2866,0.1448,0.5389,0.077,0.1181,0.8721,0.0693,1927.4994,0.9905,0.015,0.0,1f34cdbc-ecc3-43a2-b40c-66c0a9b5c632,MOVIELENS_1M_SPECTRALCF_DEFAULT_PARAM_1703170695
0.0799,0.2866,0.1448,0.5389,0.077,0.1181,0.8721,0.0693,1927.4994,0.9905,0.015,0.0,d5791f56-8465-457e-82c3-88c083aa4bc0,MOVIELENS_1M_SPECTRALCF_DEFAULT_PARAM_1705090393
