timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-12-11T22:29:00,MOVIELENS_1M_SPECTRALCF_DEFAULT_PARAM_1702329138,a0f7b9e5-fc0b-4466-b6ad-69ff1d105ee4,999.8687241077423,0.0004878114891293877,4.878755354256114e-07,0.1071,0.3834,0.5906925201416016,0.001301634781785978,3.9475258878793975e-05,9.028690038873188e-05,0.0014313969410535037,Italy,ITA,apulia,,,macOS-13.6.2-arm64-arm-64bit,3.11.4,2.3.1,12,Apple M2 Max,1,Apple M2 Max,16.9225,40.7957,64.0,process,N,1.0
2023-12-21T19:37:02,MOVIELENS_1M_SPECTRALCF_DEFAULT_PARAM_1703170695,1f34cdbc-ecc3-43a2-b40c-66c0a9b5c632,3518.561621904373,0.014242965250870848,4.047951061082181e-06,42.5,0.0,0.22667598724365234,0.0415343748052915,0,0.00025909940749057746,0.04179347421278206,Italy,ITA,basilicate,,,macOS-12.7.1-x86_64-i386-64bit,3.11.4,2.3.2,4,Intel(R) Core(TM) i5-6360U CPU @ 2.00GHz,,,15.8079,40.6421,16.0,process,N,1.0
2024-01-12T20:21:49,MOVIELENS_1M_SPECTRALCF_DEFAULT_PARAM_1705090393,d5791f56-8465-457e-82c3-88c083aa4bc0,513.0561435222626,0.005632650648043276,1.097862430683254e-05,42.5,0.0,1.258915901184082,0.006056700042221281,0.008254191603347998,0.00018003108712382474,0.014490922732693106,The Netherlands,NLD,north holland,,,Linux-5.15.0-1053-azure-x86_64-with-glibc2.10,3.8.5,2.3.1,4,AMD EPYC 7V12 64-Core Processor,1,1 x Tesla T4,4.8883,52.3716,27.40581512451172,process,N,1.0
