timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-12-11T22:35:47,MOVIELENS_1M_CKE_DEFAULT_PARAM_1702330179,a94753dc-bb13-4e4c-807b-4ca9f20e6a0b,363.332407951355,0.0002230861161952107,6.14000048751717e-07,0.4509,0.008799999999999999,0.5852394104003906,0.0006078114909124308,1.4577506125344171e-05,3.221793910315114e-05,0.0006546069361409259,Italy,ITA,apulia,,,macOS-13.6.2-arm64-arm-64bit,3.11.4,2.3.1,12,Apple M2 Max,1,Apple M2 Max,16.9225,40.7957,64.0,process,N,1.0
2023-12-06T12:23:03,MOVIELENS_1M_CKE_DEFAULT_PARAM_1701859111,436f296a-a0b7-422d-aabc-7c5cdadfc437,2666.522480249405,0.010780598492196643,4.042943036125581e-06,42.5,0.0,0.15410900115966797,0.0314782327805956,0,0.00015553569008361817,0.03163376847067919,Italy,ITA,basilicate,,,macOS-12.7.1-x86_64-i386-64bit,3.11.4,2.3.2,4,Intel(R) Core(TM) i5-6360U CPU @ 2.00GHz,,,15.8079,40.6421,16.0,process,N,1.0
2024-01-07T11:06:08,MOVIELENS_1M_CKE_DEFAULT_PARAM_1704625305,704a52d8-1aa4-477d-beeb-bede55a2e98e,260.6841289997101,0.002065506105355626,7.92340566831333e-06,42.5,0.0,1.2360148429870605,0.003077494737505913,0.00214693643977,8.942392343266734e-05,0.005313855100708579,The Netherlands,NLD,north holland,,,Linux-5.15.0-1053-azure-x86_64-with-glibc2.10,3.8.5,2.3.1,4,AMD EPYC 7V12 64-Core Processor,1,1 x Tesla T4,4.8883,52.3716,27.40581512451172,process,N,1.0
