recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.1205,0.3645,0.2012,0.6599,0.1128,0.1647,0.9163,0.4352,1233.7028,0.9144,0.0037,0.0004,f19aecb0-9479-45e0-8ec2-6e2d40fbce04,MOVIELENS_1M_RIPPLENET_DEFAULT_PARAM_1702387033
0.1158,0.3651,0.1997,0.645,0.1129,0.1638,0.9137,0.36,1317.0127,0.9328,0.0043,0.0006,b6ebc5ab-1e6b-42b1-8131-9c2815e998c1,MOVIELENS_1M_RIPPLENET_DEFAULT_PARAM_1703291721
0.0619,0.279,0.1563,0.6509,0.0762,0.1542,0.8734,0.8976,555.9815,0.5691,0.0026,0.0017,590b985d-54fd-41dc-91c3-16b8e2266bd1,MOVIELENS_1M_RIPPLENET_DEFAULT_PARAM_1703248798
