timestamp='2024-02-05T17:12:21'
project_name='KGCN_movielens_split_10'
run_id='048f9b74-f6d5-4c17-83b2-b8a8959ccfb1'
duration=1822.6044125556946
emissions=0.01587781015247851
emissions_rate=8.71160524088401e-06
cpu_power=42.5
gpu_power=24.674349062078345
ram_power=10.2771635055542
cpu_energy=0.021516660883526016
gpu_energy=0.014130758249041975
ram_energy=0.005200866064005522
energy_consumed=0.0408482851965735
country_name='The Netherlands'
country_iso_code='NLD'
region='north holland'
cloud_provider=''
cloud_region=''
os='Linux-5.15.0-1040-azure-x86_64-with-glibc2.10'
python_version='3.8.5'
codecarbon_version='2.3.4'
cpu_count=4
cpu_model='AMD EPYC 7V12 64-Core Processor'
gpu_count=1
gpu_model='1 x Tesla T4'
longitude=4.8883
latitude=52.3716
ram_total_size=27.40576934814453
tracking_mode='machine'
on_cloud='N'
pue=1.0
