recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.6259,0.6366,0.5411,0.8799,0.4375,0.1803,0.9825,0.0965,5394.0287,0.9783,0.0114,0.0,5f9b3377-6864-4f92-a069-ce5a78713ee7,MIND_MULTIDAE_DEFAULT_PARAM_1702807409
0.6252,0.6367,0.5413,0.878,0.4379,0.1806,0.9826,0.0938,5420.3424,0.9784,0.0117,0.0,ba8522d7-903a-498f-afe0-3616283aa796,MIND_MULTIDAE_DEFAULT_PARAM_1703859208
0.6241,0.6373,0.541,0.8766,0.4379,0.1799,0.9825,0.0933,5438.0682,0.9787,0.0117,0.0,024064ae-f21b-47a2-a9b3-937b827ec4e4,MIND_MULTIDAE_DEFAULT_PARAM_1704637555
