timestamp,project_name,run_id,duration,emissions,emissions_rate,cpu_power,gpu_power,ram_power,cpu_energy,gpu_energy,ram_energy,energy_consumed,country_name,country_iso_code,region,cloud_provider,cloud_region,os,python_version,codecarbon_version,cpu_count,cpu_model,gpu_count,gpu_model,longitude,latitude,ram_total_size,tracking_mode,on_cloud,pue
2023-12-16T11:56:15,MIND_BPR_DEFAULT_PARAM_1702723401,9f1563be-9cf1-4be0-a8eb-ad931f8ef909,202.32804131507874,7.977085378336526e-05,3.9426494352871613e-07,0.07100000000000001,0.0,0.6929168701171875,0.00021340525738863816,5.8621226012706757e-08,2.060964903948995e-05,0.00023407352765414082,Italy,ITA,apulia,,,macOS-13.6.2-arm64-arm-64bit,3.11.4,2.3.1,12,Apple M2 Max,1,Apple M2 Max,16.9225,40.7957,64.0,process,N,1.0
2023-12-05T18:10:35,MIND_BPR_DEFAULT_PARAM_1701795569,85ae7b3e-5a46-4fbb-953c-802586dab34a,661.8692588806152,0.0026787795477819305,4.047294102029168e-06,42.5,0.0,0.25049543380737305,0.00781349825726615,0,4.690875630195942e-05,0.00786040701356811,Italy,ITA,basilicate,,,macOS-12.7.1-x86_64-i386-64bit,3.11.4,2.3.2,4,Intel(R) Core(TM) i5-6360U CPU @ 2.00GHz,,,15.8079,40.6421,16.0,process,N,1.0
2024-01-07T13:52:22,MIND_BPR_DEFAULT_PARAM_1704634989,02c7ec7f-11ff-482b-a0fd-0924843846cc,550.3181793689728,0.004161857339468775,7.562638298158722e-06,42.5,0.0,1.2124085426330566,0.006496647618214288,0.0040261921098399996,0.00018422465409135075,0.010707064382145642,The Netherlands,NLD,north holland,,,Linux-5.15.0-1053-azure-x86_64-with-glibc2.10,3.8.5,2.3.1,4,AMD EPYC 7V12 64-Core Processor,1,1 x Tesla T4,4.8883,52.3716,27.40581512451172,process,N,1.0
