recall@10,mrr@10,ndcg@10,hit@10,map@10,precision@10,gauc,itemcoverage@10,averagepopularity@10,giniindex@10,shannonentropy@10,tailpercentage@10,run_id,project_name
0.0257,0.0166,0.0152,0.0442,0.0096,0.0048,0.7913,0.023,356.4549,0.9979,0.0136,0.0,7907217c-94d5-4496-bf71-83d26b6cf1a2,AMAZON_BOOKS_60CORE_KG_CFKG_DEFAULT_PARAM_1703322777
0.0257,0.0166,0.0152,0.0442,0.0096,0.0048,0.7913,0.023,356.4549,0.9979,0.0136,0.0,6482e1f4-027b-47b1-b2c7-f7f296bf7517,AMAZON_BOOKS_60CORE_KG_CFKG_DEFAULT_PARAM_1703704167
0.0257,0.0166,0.0152,0.0442,0.0096,0.0048,0.7913,0.023,356.4549,0.9979,0.0136,0.0,4f19e999-04c5-442d-8a42-991ebd412821,AMAZON_BOOKS_60CORE_KG_CFKG_DEFAULT_PARAM_1704629663
